2026-04-04 16:04:05 | INFO     | RegimeDetector       | ───────────────────────────────────────────────────────
2026-04-04 16:04:05 | INFO     | RegimeDetector       | Entraînement du détecteur de régimes (4 régimes)…
2026-04-04 16:04:06 | INFO     | RegimeDetector       | Modèle HMM (Gaussian) entraîné ✓
2026-04-04 16:04:06 | INFO     | RegimeDetector       | ───────────────────────────────────────────────────────
2026-04-04 16:04:06 | INFO     | RegimeDetector       | RÉGIMES APPRIS PAR LE MODÈLE :
2026-04-04 16:04:06 | INFO     | RegimeDetector       | Régime           % Temps  Rendement/j   Volatilité
2026-04-04 16:04:06 | INFO     | RegimeDetector       | ───────────────────────────────────────────────────────
2026-04-04 16:04:06 | INFO     | RegimeDetector       |   Régime 0 (BULL    )   35.7%      -0.050%        10.9%
2026-04-04 16:04:06 | INFO     | RegimeDetector       |   Régime 1 (BEAR    )   30.2%      +0.164%        10.7%
2026-04-04 16:04:06 | INFO     | RegimeDetector       |   Régime 2 (RANGE   )   31.4%      -0.143%        12.0%
2026-04-04 16:04:06 | INFO     | RegimeDetector       |   Régime 3 (HIGH_VOL)    2.7%      +0.202%         0.0%
2026-04-04 16:04:06 | INFO     | RegimeDetector       | ───────────────────────────────────────────────────────
2026-04-04 16:04:06 | INFO     | PredictionModel      | Entraînement sur : cpu
2026-04-04 16:04:18 | INFO     | PredictionModel      | Début de l'entraînement (50 époques max)…
2026-04-04 16:04:18 | INFO     | PredictionModel      | Paramètres : 1,031,650
2026-04-04 16:04:24 | INFO     | PredictionModel      |   Époque   1/50 | Train=0.6559 | Val=0.0000 | Patience=0/15
2026-04-04 16:04:38 | INFO     | PredictionModel      |   Époque  10/50 | Train=-1.3902 | Val=0.0000 | Patience=9/15
2026-04-04 16:04:47 | INFO     | PredictionModel      | Early stopping à l'époque 16 ✓
2026-04-04 16:04:47 | INFO     | PredictionModel      | Meilleur modèle rechargé (val_loss=0.0000) ✓
2026-04-04 16:04:47 | INFO     | PredictionModel      | Entraînement sur : cpu
2026-04-04 16:04:47 | INFO     | PredictionModel      | Début de l'entraînement (50 époques max)…
2026-04-04 16:04:47 | INFO     | PredictionModel      | Paramètres : 1,031,650
2026-04-04 16:04:48 | INFO     | PredictionModel      |   Époque   1/50 | Train=2.6832 | Val=0.0000 | Patience=0/15
2026-04-04 16:05:00 | INFO     | PredictionModel      |   Époque  10/50 | Train=-1.3472 | Val=0.0000 | Patience=9/15
2026-04-04 16:05:08 | INFO     | PredictionModel      | Early stopping à l'époque 16 ✓
2026-04-04 16:05:08 | INFO     | PredictionModel      | Meilleur modèle rechargé (val_loss=0.0000) ✓
2026-04-04 16:05:08 | INFO     | PredictionModel      | Entraînement sur : cpu
2026-04-04 16:05:08 | INFO     | PredictionModel      | Début de l'entraînement (50 époques max)…
2026-04-04 16:05:08 | INFO     | PredictionModel      | Paramètres : 1,031,650
2026-04-04 16:05:09 | INFO     | PredictionModel      |   Époque   1/50 | Train=1.3769 | Val=0.0000 | Patience=0/15
2026-04-04 16:05:25 | INFO     | PredictionModel      |   Époque  10/50 | Train=-1.4571 | Val=0.0000 | Patience=9/15
2026-04-04 16:05:37 | INFO     | PredictionModel      | Early stopping à l'époque 16 ✓
2026-04-04 16:05:37 | INFO     | PredictionModel      | Meilleur modèle rechargé (val_loss=0.0000) ✓
2026-04-04 16:05:37 | INFO     | Backtester           | Démarrage du backtesting : AAPL
2026-04-04 16:05:37 | INFO     | Backtester           | Période : 2025-12-02 → 2026-04-03
2026-04-04 16:05:37 | INFO     | Backtester           | ============================================================
